Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
0,1,1,2,1,1,4,4,5,77.5
1,1,1,3,1,1,1,3,3,83
0,1,0,0,0,0,1,3,3,80
0,1,3,5,1,1,2,2,3,45
1,1,1,1,2,1,1,3,4,85
0,1,1,5,1,1,1,2,2,80
0,1,1,2,2,1,2,3,3,55
0,1,1,5,2,1,2,3,3,80
1,1,2,1,1,1,3,3,5,60
0,1,2,5,2,1,1,2,4,88
1,1,4,1,1,1,2,4,2,80
0,1,0,0,0,0,2,4,4,45
1,1,3,3,2,1,2,5,5,90
1,1,4,1,2,1,2,5,5,74
1,1,3,5,5,1,2,4,4,95
1,1,2,4,3,1,1,3,3,50
0,1,1,5,1,1,1,4,1,98
1,1,2,2,3,1,2,5,3,90
1,1,3,3,2,1,3,3,4,87
0,1,0,0,0,0,2,2,3,55
0,1,2,2,2,1,4,4,4,95
1,1,1,4,1,1,1,3,2,70
1,1,1,5,1,1,3,4,1,70
1,1,3,2,2,1,1,3,3,45
0,1,0,0,0,0,1,4,3,80
1,1,2,2,1,1,2,2,2,65
0,1,1,5,1,1,1,2,5,95
1,1,0,0,0,0,3,4,3,45
1,1,4,1,3,1,2,2,2,76.5
1,1,2,2,1,1,2,4,2,61
0,1,0,0,0,0,3,3,2,95
0,1,1,4,1,1,1,2,2,80
0,1,0,0,0,0,1,2,4,85
0,1,0,0,0,0,1,2,4,99
1,1,2,2,1,1,3,3,2,77
1,1,0,0,0,0,3,2,2,90
0,1,2,4,1,1,2,4,4,100
1,1,4,3,3,1,2,5,4,80
0,1,0,0,0,0,3,3,2,99
1,1,2,3,3,1,2,2,2,70
1,1,4,1,5,1,2,2,2,50
0,1,2,1,3,1,2,4,3,80
0,1,0,0,0,0,3,2,2,55
0,1,1,4,1,1,2,5,4,75
1,1,4,1,3,1,2,4,5,69
0,1,2,4,2,1,3,5,5,95
0,1,1,2,1,1,1,3,3,55
1,1,4,1,2,1,3,3,2,60
1,1,2,4,3,1,2,2,2,60
1,1,2,1,3,1,1,2,3,45
0,1,1,5,1,1,2,4,4,65
0,1,1,4,1,1,1,5,2,50
0,1,1,4,3,1,1,2,2,75
1,1,0,0,0,0,3,3,3,70
1,1,1,5,1,1,3,3,4,98
0,1,0,0,0,0,1,2,3,67
0,1,0,0,0,0,2,3,2,55
1,1,4,2,2,1,1,4,3,60
1,1,3,3,1,1,2,4,4,100
1,1,4,3,1,1,1,4,4,65
0,1,0,0,0,0,3,6,6,95
1,1,4,1,2,1,2,2,2,95
0,1,2,4,1,1,2,4,3,79
0,1,1,2,1,1,2,5,3,50
1,1,2,2,1,1,1,3,2,70
0,1,1,5,1,1,2,2,3,50
0,1,0,0,0,0,1,3,1,36.5
0,1,0,0,0,0,2,3,5,50
0,1,0,0,0,0,3,6,5,90
1,1,3,4,2,1,2,5,4,65
0,1,0,0,0,0,3,0,4,90
1,1,1,3,2,1,1,2,1,70
1,1,4,5,3,1,4,6,6,80
1,1,4,3,2,1,3,6,6,65
0,1,3,5,1,1,4,5,5,90
1,1,4,3,3,1,3,4,5,70
1,1,4,5,5,1,3,6,6,92
0,1,4,5,2,1,2,4,4,85
1,1,4,4,2,1,2,5,5,93
1,1,4,4,2,1,2,3,2,77
1,1,4,4,2,1,1,2,3,93
0,1,3,5,1,1,1,3,3,50
1,1,4,1,2,1,2,4,4,55
0,1,1,5,1,1,1,2,1,93
1,1,4,1,4,1,1,4,4,50
1,1,4,5,5,1,2,5,3,65
1,1,4,1,3,1,1,4,4,50
1,1,0,0,0,0,1,2,1,60
0,1,1,4,3,1,1,3,1,70
0,1,1,4,2,1,2,3,3,95
1,1,0,0,0,0,2,6,4,100
0,1,2,5,1,1,2,3,2,80
0,1,1,2,1,1,2,2,2,90.7
0,1,2,3,2,1,2,4,4,78
0,1,1,2,1,1,2,4,4,60
1,1,1,5,2,1,3,5,4,95
0,1,0,0,0,0,3,4,2,75
1,1,3,1,3,1,3,4,4,65
1,1,1,1,2,1,2,2,3,68
1,1,1,3,3,1,3,6,6,75
0,1,0,0,0,0,1,4,4,70
1,1,1,4,2,1,4,4,4,85
1,1,1,3,1,1,3,4,3,70
1,1,2,4,3,1,2,5,2,64
1,1,2,1,2,1,2,2,4,42.35
0,1,4,5,2,1,2,3,2,55
0,1,0,0,0,0,2,5,5,72.5
1,1,1,3,1,1,3,3,3,55
0,1,2,2,2,1,1,2,3,65
0,2,0,0,0,0,2,1,3,85
0,2,0,0,0,0,2,4,4,60
1,2,1,1,3,1,3,4,4,75
1,2,4,5,2,1,2,3,3,40
1,2,4,3,2,1,1,2,2,50
1,2,4,1,4,1,1,4,4,45
1,2,1,5,1,1,1,3,4,55
1,2,2,3,3,1,1,3,3,63
1,2,1,5,1,1,2,2,3,50
1,2,3,3,2,1,1,2,4,40
1,2,1,5,2,1,1,3,1,40
0,2,1,5,1,1,1,2,3,86
0,2,1,3,1,1,1,3,4,62
1,2,1,4,1,1,1,2,3,75
0,2,1,2,1,1,2,3,2,89
1,2,0,0,0,0,2,5,4,75
1,2,1,5,1,1,3,2,2,50
0,2,1,4,2,1,1,2,2,88
0,2,1,2,2,1,2,2,3,90
0,2,2,3,3,1,2,5,2,90
0,2,0,0,0,0,1,3,2,70
1,2,3,5,3,1,2,4,3,48
0,2,1,2,1,1,1,4,4,57.75
1,2,1,5,1,1,1,2,2,70
0,2,2,3,2,1,1,3,3,70
0,2,0,0,0,0,1,5,3,94
0,2,3,3,3,1,2,2,2,90
1,2,1,4,1,1,3,2,3,60
0,2,1,4,1,1,1,2,1,70
0,2,2,3,1,1,1,4,2,55
0,2,1,3,2,1,1,1,3,66
0,2,2,3,2,1,2,4,4,75
0,2,4,4,2,1,3,3,2,71
1,2,0,0,0,0,2,3,3,75
0,2,1,5,1,1,2,4,4,65
0,2,1,5,2,1,1,6,5,87
1,2,1,2,1,1,3,2,3,68
1,2,1,2,1,1,3,3,2,75
0,2,3,3,1,1,2,2,3,86
0,2,3,1,2,1,3,4,5,55
1,2,4,5,5,1,3,4,2,70
0,2,3,3,3,1,2,3,3,80
1,2,2,1,2,1,1,3,3,91
0,2,4,5,1,1,2,4,4,87
1,2,4,5,5,1,4,5,5,86
1,2,4,3,5,1,1,3,3,45
0,2,1,3,1,1,1,4,5,70
0,2,1,1,1,1,1,2,2,60
0,2,4,3,3,1,2,3,3,88
1,2,3,1,2,1,2,4,2,70
1,2,3,5,3,1,3,5,5,57
0,2,1,5,1,1,1,2,2,70
0,2,3,1,2,1,1,4,2,80
0,2,1,4,1,1,1,4,3,70
0,2,2,3,4,1,2,3,3,71
1,2,4,2,5,1,3,5,4,80
0,2,3,1,3,1,1,4,2,80
0,2,2,5,1,1,2,4,2,88
0,2,2,4,2,1,2,4,5,75
1,2,2,1,3,1,2,3,2,70
1,2,3,1,1,1,1,4,5,76
0,2,4,5,1,1,1,4,2,67
0,2,1,5,1,1,3,3,2,75
0,2,4,1,3,1,2,4,3,73
0,2,3,1,3,1,2,2,3,55
1,2,2,2,2,1,2,3,3,87
1,2,0,0,0,0,4,4,2,98
1,2,3,4,1,1,2,3,3,98
0,2,2,2,2,1,4,5,5,97.66
0,2,1,4,1,1,2,4,4,82.5
0,2,2,5,1,1,3,6,5,98.5
1,2,4,1,5,1,3,2,2,40
0,2,0,0,0,0,1,2,2,78.5
0,2,1,4,1,1,3,5,5,94.5
0,2,1,5,1,1,2,4,4,91
0,2,1,5,2,1,1,3,5,90
0,2,1,2,2,1,2,2,2,95.24
1,2,1,5,3,1,2,5,5,70
0,2,2,3,2,1,1,2,3,65.5
0,2,4,4,2,1,3,4,5,80
0,2,0,0,0,0,1,6,6,85.5
0,2,1,5,1,1,3,5,4,75
0,2,1,1,3,1,2,2,4,74
0,2,1,5,1,1,2,2,2,85
0,2,2,4,2,1,3,5,4,90
1,2,2,3,2,1,4,5,4,93.5
0,2,1,2,1,1,1,4,2,65.5
1,2,3,1,5,1,2,2,2,50
0,2,0,0,0,0,2,4,2,90.8
0,2,2,3,2,1,3,4,4,86.7
0,2,2,3,2,1,1,4,2,70
0,2,1,5,2,1,2,2,3,75
0,2,2,2,2,1,2,3,3,60
1,2,1,1,2,1,3,3,3,63
0,3,0,0,0,0,2,2,2,80
0,3,1,5,2,1,3,4,4,74
0,3,0,0,0,0,3,6,4,85
0,3,0,0,0,0,2,4,3,87
1,3,0,0,0,0,4,3,3,65
0,3,0,0,0,0,2,4,2,68
0,3,0,0,0,0,2,5,5,70
0,3,0,0,0,0,3,4,3,75
1,3,4,1,2,1,1,2,2,55
1,3,1,2,1,1,1,4,3,55
0,3,2,4,3,1,2,3,3,50
1,3,0,0,0,0,2,4,4,80
0,3,0,0,0,0,3,4,4,90
1,3,4,3,2,1,3,4,3,50
1,3,0,0,0,0,2,4,2,90
0,3,0,0,0,0,3,6,4,86
0,3,0,0,0,0,2,3,2,65
1,3,1,2,2,1,3,3,3,45
1,3,1,3,1,1,2,4,4,50
0,3,0,0,0,0,2,4,3,85
1,3,0,0,0,0,2,3,3,65
0,3,0,0,0,0,2,3,3,85
